openreview_id,forum_id,submission_number,venue,accepted_type,title,authors,authorids,primary_area,keywords,tldr,abstract,openreview_forum_url,official_pdf_download_url,content_pdf_url,supplementary_material_url,supplementary_material_type,has_supplementary_material,github_urls,repository_urls,dataset_urls,arxiv_ids,arxiv_abs_urls,arxiv_pdf_urls,arxiv_source_urls,all_extracted_urls,paperhash,bibtex,license,cdate,pdate,mdate,fetched_at_utc
pzPyxXjHrT,pzPyxXjHrT,8863,NeurIPS 2025 poster,NeurIPS 2025 poster,Interpretable Next-token Prediction via the Generalized Induction Head,Eunji Kim; Sriya Mantena; Weiwei Yang; Chandan Singh; Sungroh Yoon; Jianfeng Gao,~Eunji_Kim2; ~Sriya_Mantena1; ~Weiwei_Yang2; ~Chandan_Singh1; ~Sungroh_Yoon1; ~Jianfeng_Gao1,neuroscience_and_cognitive_science,interpretability; ngram; language modeling; fmri; neuroscience,"We introduce the Generalized Induction Model (GIM), a retrieval-based in-context module that enhances interpretable next-token prediction in language modeling and fMRI response prediction.","While large transformer models excel in predictive performance, their lack of interpretability restricts their usefulness in high-stakes domains. To remedy this, we propose the Generalized Induction-Head Model (GIM), an interpretable model for next-token prediction inspired by the observation of “induction heads” in LLMs. GIM is a retrieval-based module that identifies similar sequences in the input context by combining exact n-gram matching and fuzzy matching based on a neural similarity metric. We evaluate GIM in two settings: language modeling and fMRI response prediction. In language modeling, GIM improves next-token prediction by up to 25%p over interpretable baselines, significantly narrowing the gap with black-box LLMs. In an fMRI setting, GIM improves neural response prediction by 20% and offers insights into the language selectivity of the brain. GIM represents a significant step toward uniting interpretability and performance across domains. The code is available at https://github.com/ejkim47/generalized-induction-head.",https://openreview.net/forum?id=pzPyxXjHrT,https://openreview.net/pdf?id=pzPyxXjHrT,https://openreview.net/pdf/c72ac78e6c2d4990b18236f85f8ccf826072e479.pdf,,,no,https://github.com/ejkim47/generalized-induction-head,https://github.com/ejkim47/generalized-induction-head,,,,,,https://github.com/ejkim47/generalized-induction-head; https://openreview.net/forum?id=pzPyxXjHrT,kim|interpretable_nexttoken_prediction_via_the_generalized_induction_head,"@inproceedings{
kim2026interpretable,
title={Interpretable Next-token Prediction via the Generalized Induction Head},
author={Eunji Kim and Sriya Mantena and Weiwei Yang and Chandan Singh and Sungroh Yoon and Jianfeng Gao},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=pzPyxXjHrT}
}",CC BY 4.0,1746607013455,1758216770597,1776754542189,2026-06-15T20:41:24.310698+00:00
jDYuadVajk,jDYuadVajk,8866,NeurIPS 2025 poster,NeurIPS 2025 poster,"Scalable, Explainable and Provably Robust Anomaly Detection with One-Step Flow Matching",Zhong Li; Qi Huang; Yuxuan Zhu; Lincen Yang; Mohammad Mohammadi Amiri; Niki van Stein; Matthijs van Leeuwen,~Zhong_Li4; ~Qi_Huang2; ~Yuxuan_Zhu3; ~Lincen_Yang1; ~Mohammad_Mohammadi_Amiri1; ~Niki_van_Stein1; ~Matthijs_van_Leeuwen1,general_machine_learning,Anomaly Detection; Outlier Detection,,"We introduce Time-Conditioned Contraction Matching (TCCM), a novel method for semi-supervised anomaly detection in tabular data. TCCM is inspired by flow matching, a recent generative modeling framework that learns velocity fields between probability distributions and has shown strong performance compared to diffusion models and generative adversarial networks. Instead of directly applying flow matching as originally formulated, TCCM builds on its core idea—learning velocity fields between distributions—but simplifies the framework by predicting a time-conditioned contraction vector toward a fixed target (the origin) at each sampled time step. This design offers three key advantages: (1) a lightweight and scalable training objective that removes the need for solving ordinary differential equations during training and inference; (2) an efficient scoring strategy called one time-step deviation, which quantifies deviation from expected contraction behavior in a single forward pass, addressing the inference bottleneck of existing continuous-time models such as DTE (a diffusion-based model with leading anomaly detection accuracy but heavy inference cost);
and (3) explainability and provable robustness, as the learned velocity field operates directly in input space, making the anomaly score inherently feature-wise attributable; moreover, the score function is Lipschitz-continuous with respect to the input, providing theoretical guarantees under small perturbations. Extensive experiments on the ADBench benchmark show that TCCM strikes a favorable balance between detection accuracy and inference cost, outperforming state-of-the-art methods—especially on high-dimensional and large-scale datasets. The source code is provided at https://github.com/ZhongLIFR/TCCM-NIPS.",https://openreview.net/forum?id=jDYuadVajk,https://openreview.net/pdf?id=jDYuadVajk,https://openreview.net/pdf/e13552a25db71554109215e3cfc919c9de32cd4d.pdf,https://openreview.net/attachment/9fa37c36e94752c3fd5309061e0936102f5b91fd.zip,zip,yes,https://github.com/ZhongLIFR/TCCM-NIPS,https://github.com/ZhongLIFR/TCCM-NIPS,,,,,,https://github.com/ZhongLIFR/TCCM-NIPS; https://openreview.net/forum?id=jDYuadVajk,li|scalable_explainable_and_provably_robust_anomaly_detection_with_onestep_flow_matching,"@inproceedings{
li2026scalable,
title={Scalable, Explainable and Provably Robust Anomaly Detection with One-Step Flow Matching},
author={Zhong Li and Qi Huang and Yuxuan Zhu and Lincen Yang and Mohammad Mohammadi Amiri and Niki van Stein and Matthijs van Leeuwen},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=jDYuadVajk}
}",CC BY 4.0,1746607309199,1758216770676,1776754542163,2026-06-15T20:41:24.310698+00:00
1Y8MXuJlIY,1Y8MXuJlIY,8867,NeurIPS 2025 poster,NeurIPS 2025 poster,Localist Topographic Expert Routing: A Barrel Cortex-Inspired Modular Network for Sensorimotor Processing,Tianfang Zhu; Dongli Hu; Jiandong Zhou; Kai Du; Anan LI,~Tianfang_Zhu1; ~Dongli_Hu1; ~Jiandong_Zhou2; ~Kai_Du2; ~Anan_LI2,neuroscience_and_cognitive_science,barrel cortex; expert system; biologically constrained model; brain-inspired intelligence; tactile sensation,Investigating localist expert systems analogous to MoE architectures in rodent barrel cortex.,"Biological sensorimotor systems process information through spatially organized, functionally specialized modules.  A canonical example is the rodent barrel cortex, in which each vibrissa (whisker) projects to a dedicated cortical column, forming a precise somatotopic map. This anatomical organization stands in stark contrast to the architectures of most artificial neural networks, which are typically monolithic or rely on globally routed mixture-of-experts (MoE) mechanisms. In this work, we introduce a brain-inspired modular architecture that treats the barrel cortex as a biologically constrained instantiation of an expert system. Each module (or “expert”) corresponds to a cortical column composed of multiple neuron subtypes spanning vertical cortical layers. Sensory signals are routed exclusively to their corresponding columns, with inter-column communication restricted to local neighbors via a sparse gating mechanism. Despite these anatomical constraints, our model achieves competitive, state-of-the-art performance on challenging 3D tactile object classification benchmarks. Columnar parameter sharing provides inherent regularization, enabling 97\% parameter reduction with improved training stability. Notably, constrained localist routing suppresses inter-module activity correlations, mirroring the barrel cortex's lateral inhibition for sensory differentiation, while suggesting MoE's potential to reduce expert redundancy through collaborative constraints. These results demonstrate how cortical principles of localist-expert routing and topographic organization can be translated into machine learning architectures, providing a step toward next-generation expert systems that bridge neuroscience and artificial intelligence. Code is available at https://github.com/fun0515/MultiBarrelModel.",https://openreview.net/forum?id=1Y8MXuJlIY,https://openreview.net/pdf?id=1Y8MXuJlIY,https://openreview.net/pdf/cadce65c5fec16b469255cd61ead8dd49acf0669.pdf,https://openreview.net/attachment/a5226af027e2b5f751df253bffca7bb0c9d71a73.zip,zip,yes,https://github.com/fun0515/MultiBarrelModel,https://github.com/fun0515/MultiBarrelModel,,,,,,https://github.com/fun0515/MultiBarrelModel; https://openreview.net/forum?id=1Y8MXuJlIY,zhu|localist_topographic_expert_routing_a_barrel_cortexinspired_modular_network_for_sensorimotor_processing,"@inproceedings{
zhu2026localist,
title={Localist Topographic Expert Routing: A Barrel Cortex-Inspired Modular Network for Sensorimotor Processing},
author={Tianfang Zhu and Dongli Hu and Jiandong Zhou and Kai Du and Anan LI},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=1Y8MXuJlIY}
}",CC BY 4.0,1746607311590,1758216770727,1776754542155,2026-06-15T20:41:24.310698+00:00
EeyvDitalf,EeyvDitalf,8886,NeurIPS 2025 poster,NeurIPS 2025 poster,Fact-R1: Towards Explainable Video Misinformation Detection with Deep Reasoning,Fanrui Zhang; Dian Li; Qiang Zhang; Chenjun; sinbadliu; Junxiong Lin; Jiahong Yan; Jiawei Liu; Zheng-Jun Zha,~Fanrui_Zhang1; ~Dian_Li1; ~Qiang_Zhang12; ~Chenjun1; ~sinbadliu1; ~Junxiong_Lin1; ~Jiahong_Yan2; ~Jiawei_Liu7; ~Zheng-Jun_Zha2,applications,Video Misinformation Detection; Deep Reasoning,"We present Fact-R1, a reasoning-enhanced framework for video misinformation detection, along with FakeVV, a large-scale benchmark of over 100,000 annotated video-text pairs.","The rapid spread of multimodal misinformation on social media has raised growing concerns, while research on video misinformation detection remains limited due to the lack of large-scale, diverse datasets. Existing methods often overfit to rigid templates and lack deep reasoning over deceptive content. To address these challenges, we introduce FakeVV, a large-scale benchmark comprising over 100,000 video-text pairs with fine-grained, interpretable annotations. In addition, we further propose Fact-R1, a novel framework that integrates deep reasoning with collaborative rule-based reinforcement learning. Fact-R1 is trained through a three-stage process: (1) misinformation long-Chain-of-Thought (CoT) instruction tuning, (2) preference alignment via Direct Preference Optimization (DPO), and (3) Group Relative Policy Optimization (GRPO) using a novel verifiable reward function. This enables Fact-R1 to exhibit emergent reasoning behaviors comparable to those observed in advanced text-based reinforcement learning systems, but in the more complex multimodal misinformation setting. Our work establishes a new paradigm for misinformation detection, bridging large-scale video understanding, reasoning-guided alignment, and interpretable verification.",https://openreview.net/forum?id=EeyvDitalf,https://openreview.net/pdf?id=EeyvDitalf,https://openreview.net/pdf/57d8d99f86e1cce535d963ef6bb4073464914b94.pdf,https://openreview.net/attachment/bd82bc90f148ffec005f39ec66b39cb601d902e0.zip,zip,yes,,,,,,,,https://openreview.net/forum?id=EeyvDitalf,zhang|factr1_towards_explainable_video_misinformation_detection_with_deep_reasoning,"@inproceedings{
zhang2026factr,
title={Fact-R1: Towards Explainable Video Misinformation Detection with Deep Reasoning},
author={Fanrui Zhang and Dian Li and Qiang Zhang and Chenjun and sinbadliu and Junxiong Lin and Jiahong Yan and Jiawei Liu and Zheng-Jun Zha},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=EeyvDitalf}
}",CC BY 4.0,1746608048569,1758216771099,1776754542412,2026-06-15T20:41:24.310698+00:00
z5vZDI2r6J,z5vZDI2r6J,8897,NeurIPS 2025 poster,NeurIPS 2025 poster,NeedleInATable: Exploring Long-Context Capability of Large Language Models towards Long-Structured Tables,Lanrui Wang; Mingyu Zheng; Hongyin Tang; Zheng Lin; Yanan Cao; Jingang Wang; Xunliang Cai; Weiping Wang,~Lanrui_Wang1; ~Mingyu_Zheng3; ~Hongyin_Tang1; ~Zheng_Lin5; ~Yanan_Cao1; ~Jingang_Wang1; ~Xunliang_Cai1; ~Weiping_Wang4,applications,Long-context; table understanding; structured data,,"Processing structured tabular data, particularly large and lengthy tables, constitutes a fundamental yet challenging task for large language models (LLMs). However, existing long-context benchmarks like Needle-in-a-Haystack primarily focus on unstructured text, neglecting the challenge of diverse structured tables. Meanwhile, previous tabular benchmarks mainly consider downstream tasks that require high-level reasoning abilities, and overlook models' underlying fine-grained perception of individual table cells, which is crucial for practical and robust LLM-based table applications. To address this gap, we introduce \textsc{NeedleInATable} (NIAT), a new long-context tabular benchmark that treats each table cell as a ``needle'' and requires models to extract the target cell based on cell locations or lookup questions. Our comprehensive evaluation of various LLMs and multimodal LLMs reveals a substantial performance gap between popular downstream tabular tasks and the simpler NIAT task, suggesting that they may rely on dataset-specific correlations or shortcuts to obtain better benchmark results but lack truly robust long-context understanding towards structured tables. Furthermore, we demonstrate that using synthesized NIAT training data can effectively improve performance on both NIAT task and downstream tabular tasks, which validates the importance of NIAT capability for LLMs' genuine table understanding ability. Our data, code and models will be released to facilitate future research.",https://openreview.net/forum?id=z5vZDI2r6J,https://openreview.net/pdf?id=z5vZDI2r6J,https://openreview.net/pdf/7c07a77f4c388194b0b0c43a4b17433889a9f08b.pdf,https://openreview.net/attachment/e0e74e87ea9be09af5e8473b3c94dcfc9db3c962.zip,zip,yes,,,,,,,,https://openreview.net/forum?id=z5vZDI2r6J,wang|needleinatable_exploring_longcontext_capability_of_large_language_models_towards_longstructured_tables,"@inproceedings{
wang2026needleinatable,
title={NeedleIn{AT}able: Exploring Long-Context Capability of Large Language Models towards Long-Structured Tables},
author={Lanrui Wang and Mingyu Zheng and Hongyin Tang and Zheng Lin and Yanan Cao and Jingang Wang and Xunliang Cai and Weiping Wang},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=z5vZDI2r6J}
}",CC BY 4.0,1746608248021,1758216771372,1776754542479,2026-06-15T20:41:24.310698+00:00
JlVn0XRpy0,JlVn0XRpy0,8898,NeurIPS 2025 poster,NeurIPS 2025 poster,xLSTM-Mixer: Multivariate Time Series Forecasting by Mixing via Scalar Memories,Maurice Kraus; Felix Divo; Devendra Singh Dhami; Kristian Kersting,~Maurice_Kraus1; ~Felix_Divo1; ~Devendra_Singh_Dhami1; ~Kristian_Kersting1,deep_learning,time series; xLSTM; forecasting; mixing; recurrent,"xLSTM-Mixer integrates temporal, joint, and multi-view mixing with xLSTM blocks, achieving consistent SOTA performance in a wide range of long-term forecasting tasks.","Time series data is prevalent across numerous fields, necessitating the development of robust and accurate forecasting models.
 Capturing patterns both within and between temporal and multivariate components is crucial for reliable predictions.
  We introduce xLSTM-Mixer, a model designed to effectively integrate temporal sequences, joint time-variate information, and multiple perspectives for robust forecasting.
    Our approach begins with a linear forecast shared across variates, which is then refined by xLSTM blocks.
    They serve as key elements for modeling the complex dynamics of challenging time series data.
   xLSTM-Mixer ultimately reconciles two distinct views to produce the final forecast.
    Our extensive evaluations demonstrate its superior long-term forecasting performance compared to recent state-of-the-art methods while requiring very little memory.
    A thorough model analysis provides further insights into its key components and confirms its robustness and effectiveness.
    This work contributes to the resurgence of recurrent models in forecasting by combining them, for the first time, with mixing architectures.",https://openreview.net/forum?id=JlVn0XRpy0,https://openreview.net/pdf?id=JlVn0XRpy0,https://openreview.net/pdf/aaf9b68cd7bc0a0620067c1683a281ee916eb4e6.pdf,,,no,,,,,,,,https://openreview.net/forum?id=JlVn0XRpy0,kraus|xlstmmixer_multivariate_time_series_forecasting_by_mixing_via_scalar_memories,"@inproceedings{
kraus2026xlstmmixer,
title={x{LSTM}-Mixer: Multivariate Time Series Forecasting by Mixing via Scalar Memories},
author={Maurice Kraus and Felix Divo and Devendra Singh Dhami and Kristian Kersting},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=JlVn0XRpy0}
}",CC BY 4.0,1746608270425,1758216771400,1776754542484,2026-06-15T20:41:24.310698+00:00
hdJXzKZjY9,hdJXzKZjY9,8901,NeurIPS 2025 poster,NeurIPS 2025 poster,Reliable Lifelong Multimodal Editing: Conflict-Aware Retrieval Meets Multi-Level Guidance,Qiang Zhang; Fanrui Zhang; Jiawei Liu; Ming Hu; Junjun He; Zheng-Jun Zha,~Qiang_Zhang12; ~Fanrui_Zhang1; ~Jiawei_Liu7; ~Ming_Hu4; ~Junjun_He2; ~Zheng-Jun_Zha2,applications,Knowledge editing; Multimodal understanding; Retrieval-augmented,"We propose CARML, a novel retrieval-augmented editing framework that integrates conflict-aware dynamic retrieval with multi-level collaborative guidance for reliable lifelong multimodal editing.","The dynamic nature of real-world information demands efficient knowledge editing in multimodal large language models (MLLMs) to ensure continuous knowledge updates. However, existing methods often struggle with precise matching in large-scale knowledge retrieval and lack multi-level guidance for coordinated editing, leading to less reliable outcomes. To tackle these challenges, we propose CARML, a novel retrieval-augmented editing framework that integrates conflict-aware dynamic retrieval with multi-level implicit and explicit guidance for reliable lifelong multimodal editing. Specifically, CARML introduces intra-modal uncertainty and inter-modal conflict quantification to dynamically integrate multi-channel retrieval results, so as to pinpoint the most relevant knowledge to the incoming edit samples. Afterwards, an edit scope classifier discerns whether the edit sample semantically aligns with the edit scope of the retrieved knowledge. If deemed in-scope, CARML refines the retrieved knowledge into information-rich continuous prompt prefixes, serving as the implicit knowledge guide. These prefixes not only include static knowledge prompt that capture key textual semantics but also incorporate token-level, context-aware dynamic prompt to explore fine-grained cross-modal associations between the edit sample and retrieved knowledge. To further enhance reliability, CARML incorporates a ""hard correction"" mechanism, leveraging explicit label knowledge to adjust the model’s output logits. Extensive experiments across multiple MLLMs and datasets indicate the superior performance of CARML in lifelong multimodal editing scenarios.",https://openreview.net/forum?id=hdJXzKZjY9,https://openreview.net/pdf?id=hdJXzKZjY9,https://openreview.net/pdf/e9c3d5a5e890cfc52d58bb0f8c853abe590119fe.pdf,,,no,,,,,,,,https://openreview.net/forum?id=hdJXzKZjY9,zhang|reliable_lifelong_multimodal_editing_conflictaware_retrieval_meets_multilevel_guidance,"@inproceedings{
zhang2026reliable,
title={Reliable Lifelong Multimodal Editing: Conflict-Aware Retrieval Meets Multi-Level Guidance},
author={Qiang Zhang and Fanrui Zhang and Jiawei Liu and Ming Hu and Junjun He and Zheng-Jun Zha},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=hdJXzKZjY9}
}",CC BY 4.0,1746608341205,1758216771571,1776754542605,2026-06-15T20:41:24.310698+00:00
4iehXI36QG,4iehXI36QG,8907,NeurIPS 2025 poster,NeurIPS 2025 poster,OpenOmni: Advancing Open-Source Omnimodal Large Language Models with Progressive Multimodal Alignment and Real-time Emotional Speech Synthesis,Run Luo; Ting-En Lin; Haonan Zhang; Yuchuan Wu; Xiong Liu; Yongbin Li; Longze Chen; Jiaming Li; Lei Zhang; Xiaobo Xia; Hamid Alinejad-Rokny; Fei Huang; Min Yang,~Run_Luo1; ~Ting-En_Lin1; ~Haonan_Zhang2; ~Yuchuan_Wu1; ~Xiong_Liu2; ~Yongbin_Li2; ~Longze_Chen1; ~Jiaming_Li7; ~Lei_Zhang32; ~Xiaobo_Xia1; ~Hamid_Alinejad-Rokny1; ~Fei_Huang2; ~Min_Yang4,deep_learning,omnimodal large language models; modality alignment; real-time inference,,"Recent advancements in omnimodal learning have significantly improved understanding and generation across images, text, and speech, yet these developments remain predominantly confined to proprietary models. The lack of high-quality omnimodal datasets and the challenges of real-time emotional speech synthesis have notably hindered progress in open-source research. To address these limitations, we introduce OpenOmni, a two-stage training framework that integrates omnimodal alignment and speech generation to develop a state-of-the-art omnimodal large language model. In the alignment phase, a pretrained speech model undergoes further training on image-text tasks, enabling (near) zero-shot generalization from vision to speech, outperforming models trained on tri-modal datasets. In the speech generation phase, a lightweight decoder is trained on speech tasks with direct preference optimization, which enables real-time emotional speech synthesis with high fidelity. Extensive experiments demonstrate that OpenOmni surpasses state-of-the-art models across omnimodal, vision-language, and speech-language benchmarks. It achieves a 4-point absolute improvement on OmniBench over the leading open-source model VITA, despite using 5$\times$ fewer training examples and a smaller model size (7B vs. 7$\times$8B). Besides, OpenOmni achieves real-time speech generation with less than 1 second latency at non-autoregressive mode, reducing inference time by 5$\times$ compared to autoregressive methods, and improves emotion classification accuracy by 7.7\%. The codebase is available at https://github.com/RainBowLuoCS/OpenOmni.",https://openreview.net/forum?id=4iehXI36QG,https://openreview.net/pdf?id=4iehXI36QG,https://openreview.net/pdf/6f375472c18fb0e826c393f4d87fd66248f4ba59.pdf,,,no,https://github.com/RainBowLuoCS/OpenOmni,https://github.com/RainBowLuoCS/OpenOmni,,,,,,https://github.com/RainBowLuoCS/OpenOmni; https://openreview.net/forum?id=4iehXI36QG,luo|openomni_advancing_opensource_omnimodal_large_language_models_with_progressive_multimodal_alignment_and_realtime_emotional_speech_synthesis,"@inproceedings{
luo2026openomni,
title={OpenOmni: Advancing Open-Source Omnimodal Large Language Models with Progressive Multimodal Alignment and Real-time Emotional Speech Synthesis},
author={Run Luo and Ting-En Lin and Haonan Zhang and Yuchuan Wu and Xiong Liu and Yongbin Li and Longze Chen and Jiaming Li and Lei Zhang and Xiaobo Xia and Hamid Alinejad-Rokny and Fei Huang and Min Yang},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=4iehXI36QG}
}",CC BY 4.0,1746608428663,1758216771753,1776754542645,2026-06-15T20:41:24.310698+00:00
0sUihPtncP,0sUihPtncP,8920,NeurIPS 2025 poster,NeurIPS 2025 poster,SurfelSplat: Learning Efficient and Generalizable Gaussian Surfel Representations for Sparse-View Surface Reconstruction,Chensheng Dai; Shengjun Zhang; Min Chen; Yueqi Duan,~Chensheng_Dai1; ~Shengjun_Zhang2; ~Min_Chen20; ~Yueqi_Duan1,applications,3D Gaussian Splatting; feed-forward netowrk; surface reconstruction,,"3D Gaussian Splatting (3DGS) has demonstrated impressive performance in 3D scene reconstruction. Beyond novel view synthesis, it shows great potential for multi-view surface reconstruction. Existing methods employ optimization-based reconstruction pipelines that achieve precise and complete surface extractions. However, these approaches typically require dense input views and high time consumption for per-scene optimization. To address these limitations, we propose SurfaceSplat, a feed-forward framework that generates efficient and generalizable pixel-aligned Gaussian surfel representations from sparse-view images. We observe that conventional feed-forward structures struggle to recover accurate geometric attributes of Gaussian surfels because the spatial frequency of pixel-aligned primitives exceeds Nyquist sampling rates. Therefore, we propose a cross-view feature aggregation module based on the Nyquist sampling theorem. Specifically, we first adapt the geometric forms of Gaussian surfels with spatial sampling rate-guided low-pass filters. We then project the filtered surfels across all input views to obtain cross-view feature correlations. By processing these correlations through a specially designed feature fusion network, we can finally regress Gaussian surfels with precise geometry. Extensive experiments on DTU reconstruction benchmarks demonstrate that our model achieves comparable results with state-of-the-art methods, and predict Gaussian surfels within 1 second, offering a 100× speedup without costly per-scene training.",https://openreview.net/forum?id=0sUihPtncP,https://openreview.net/pdf?id=0sUihPtncP,https://openreview.net/pdf/367a64148bdfcbb98558647cd08c9e6050068c94.pdf,,,no,,,,,,,,https://openreview.net/forum?id=0sUihPtncP,dai|surfelsplat_learning_efficient_and_generalizable_gaussian_surfel_representations_for_sparseview_surface_reconstruction,"@inproceedings{
dai2026surfelsplat,
title={SurfelSplat: Learning Efficient and Generalizable Gaussian Surfel Representations for Sparse-View Surface Reconstruction},
author={Chensheng Dai and Shengjun Zhang and Min Chen and Yueqi Duan},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=0sUihPtncP}
}",CC BY 4.0,1746609474698,1758216772104,1776754542743,2026-06-15T20:41:24.310698+00:00
CQBiYvXLgz,CQBiYvXLgz,8922,NeurIPS 2025 poster,NeurIPS 2025 poster,Redundancy-Aware Test-Time Graph Out-of-Distribution Detection,Yue Hou; He Zhu; Ruomei Liu; Yingke Su; Junran Wu; Ke Xu,~Yue_Hou1; ~He_Zhu8; ~Ruomei_Liu1; ~Yingke_Su1; ~Junran_Wu1; ~Ke_Xu4,general_machine_learning,out-of-distribution detection; structural entropy,,"Distributional discrepancy between training and test data can lead models to make inaccurate predictions when encountering out-of-distribution (OOD) samples in real-world applications. Although existing graph OOD detection methods leverage data-centric techniques to extract effective representations, their performance remains compromised by structural redundancy that induces semantic shifts. To address this dilemma, we propose RedOUT, an unsupervised framework that integrates structural entropy into test-time OOD detection for graph classification. Concretely, we introduce the Redundancy-aware Graph Information Bottleneck (ReGIB) and decompose the objective into essential information and irrelevant redundancy. By minimizing structural entropy, the decoupled redundancy is reduced, and theoretically grounded upper and lower bounds are proposed for optimization. Extensive experiments on real-world datasets demonstrate the superior performance of RedOUT on OOD detection. Specifically, our method achieves an average improvement of 6.7\%, significantly surpassing the best competitor by 17.3\% on the ClinTox/LIPO dataset pair.",https://openreview.net/forum?id=CQBiYvXLgz,https://openreview.net/pdf?id=CQBiYvXLgz,https://openreview.net/pdf/6d7364cdfe8cc4c81562e3da95581fab0bf95c4c.pdf,,,no,,,,,,,,https://openreview.net/forum?id=CQBiYvXLgz,hou|redundancyaware_testtime_graph_outofdistribution_detection,"@inproceedings{
hou2026redundancyaware,
title={Redundancy-Aware Test-Time Graph Out-of-Distribution Detection},
author={Yue Hou and He Zhu and Ruomei Liu and Yingke Su and Junran Wu and Ke Xu},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=CQBiYvXLgz}
}",CC BY 4.0,1746609583545,1758216772152,1776754542756,2026-06-15T20:41:24.310698+00:00
8WKOk4U9R4,8WKOk4U9R4,8925,NeurIPS 2025 poster,NeurIPS 2025 poster,Neural Collapse is Globally Optimal in Deep Regularized ResNets and Transformers,Peter Súkeník; Christoph H. Lampert; Marco Mondelli,~Peter_Súkeník1; ~Christoph_H._Lampert6; ~Marco_Mondelli1,deep_learning,neural collapse; ResNets; transformers; LayerNorm; weight regularization,We prove that neural collapse is approximately optimal in deep regularized ResNets and transformers end-to-end.,"The empirical emergence of neural collapse---a surprising symmetry in the feature representations of the training data in the penultimate layer of deep neural networks---has spurred a line of theoretical research aimed at its understanding. However, existing work focuses on data-agnostic models or, when data structure is taken into account, it remains limited to multi-layer perceptrons. Our paper fills both these gaps by analyzing modern architectures in data-aware regime: we prove that global optima of deep regularized transformers and residual networks (ResNets) with LayerNorm trained with cross entropy or mean squared error loss are approximately collapsed, and the approximation gets tighter as the depth grows. More generally, we formally reduce any end-to-end large-depth ResNet or transformer training into an equivalent unconstrained features model, thus justifying its wide use in the literature even beyond data-agnostic settings. Our theoretical results are supported by experiments on computer vision and language datasets showing that, as the depth grows, neural collapse indeed becomes more prominent.",https://openreview.net/forum?id=8WKOk4U9R4,https://openreview.net/pdf?id=8WKOk4U9R4,https://openreview.net/pdf/91b48ea4a4eaa33a99482d10e8cd98bee8c7303a.pdf,,,no,,,,,,,,https://openreview.net/forum?id=8WKOk4U9R4,súkeník|neural_collapse_is_globally_optimal_in_deep_regularized_resnets_and_transformers,"@inproceedings{
sukenik2026neural,
title={Neural Collapse is Globally Optimal in Deep Regularized ResNets and Transformers},
author={Peter S{\'u}ken{\'\i}k and Christoph H. Lampert and Marco Mondelli},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=8WKOk4U9R4}
}",CC BY 4.0,1746609682103,1758216772309,1776754542824,2026-06-15T20:41:24.310698+00:00
