doi,title,authors,author_affiliations,venue,container_title,event_name,event_location,pages,published_print,published_online,doi_url,acm_page_url,official_pdf_download_url,supplementary_material_url,source_archive_url,github_urls,repository_urls,dataset_urls,arxiv_ids,arxiv_abs_urls,arxiv_pdf_urls,arxiv_source_urls,all_extracted_urls,publisher,license_urls,reference_count,is_referenced_by_count,crossref_type,fetched_at_utc
10.1145/3805622.3810861,DIR-RSCLIP: A Degradation-Invariant Cross-Modal Retrieval Network for Remote Sensing Images,Xiaotian Li; Chenyu Zhang; Changbai Chen; Zhongjie Zhu,"College Of information Science and Technology, Gansu Agricultural University, Lanzhou, Gansu, China; College of Horticulture, Gansu Agricultural University, Lanzhou, Gansu, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,79-87,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810861,https://dl.acm.org/doi/10.1145/3805622.3810861,https://dl.acm.org/doi/pdf/10.1145/3805622.3810861,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,45,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810858,BiOVQL: Brain-inspired One-stage Egocentric Visual Query Localization,Yifei Cao; Guolong Wang; Mingliang Hou; Jizhe Yu; Xianjie Zhang; Xiya Bu; Zhizhen Li; Yu Liu,"Dalian University of Technology, Dalian, Liaoning, China; University of International Business and Economics, Beijing, China; Jinan University, teemohold@outlook.com, Guangzhou, Guangdong, China; Academy of Satellite Application Innovation, CASC, Beijing, China; School of Software Engineering, Dalian University of Technology, Dalian, Liaoning, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,88-98,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810858,https://dl.acm.org/doi/10.1145/3805622.3810858,https://dl.acm.org/doi/pdf/10.1145/3805622.3810858,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,37,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810865,Which LoRA Should Be Merged Next? Retrieving an Additional LoRA from a Target Image,Daichi Sugita; Huu-Long Pham; Makoto P. Kato; Hiroaki Ohshima; Sumio Fujita; Yoshiyuki Shoji,"Shizuoka University, Hamamatsu, Shizuoka, Japan; University of Tsukuba, Tsukuba-shi, Ibaraki, Japan; University of Hyogo, Kobe-shi, Hyogo, Japan; LY Corporation, Chiyoda-ku, Tokyo, Japan",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,99-107,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810865,https://dl.acm.org/doi/10.1145/3805622.3810865,https://dl.acm.org/doi/pdf/10.1145/3805622.3810865,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,24,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810885,NeuroAlign: Dynamic Dual-Stream Alignment of Perception and Cognition for Zero-Shot Brain-Image Retrieval,Yixing Ke; Dong Liang; Kun Shang,"Southern University of Science and Technology, Shenzhen, China; Shenzhen University of Advanced Technology, Shenzhen, China and Shenzhen Institute of Advanced Technology，Chinese Academy of Sciences, Shenzhen, China; Shenzhen Institute of Advanced Technology，Chinese Academy of Sciences, Shenzhen, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,108-117,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810885,https://dl.acm.org/doi/10.1145/3805622.3810885,https://dl.acm.org/doi/pdf/10.1145/3805622.3810885,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,57,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810824,M-STAR: Multi-view Semantic Topology Alignment with Reasoning from VLMs for Image-Text Retrieval,Xuewen He; Yuning Guo; Fumao Xu; Mingyong Li,"Chongqing Normal University, Chongqing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,118-127,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810824,https://dl.acm.org/doi/10.1145/3805622.3810824,https://dl.acm.org/doi/pdf/10.1145/3805622.3810824,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,52,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810822,Scaling Multimodal Retrieval and Generation for Long Documents through Visual Tiling and Context Compression,Yi Jin; Weichao Chen; Shengjie Zhao,"School of Computer Science and Technology, Tongji University, Shanghai, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,128-137,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810822,https://dl.acm.org/doi/10.1145/3805622.3810822,https://dl.acm.org/doi/pdf/10.1145/3805622.3810822,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,47,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810820,LSR²: Learning to Select Relational and Reasoning Feature for Multi-modal Re-identification,Peng Jin; Yuxuan Qiu; Zhaofa Wang; Xiaoyue Hu; Xiabing Zhou; Na Jiang,"Capital Normal University, Beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,147-156,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810820,https://dl.acm.org/doi/10.1145/3805622.3810820,https://dl.acm.org/doi/pdf/10.1145/3805622.3810820,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,45,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810819,Unsupervised Cross-Modal Semantic Invariance Hashing,Qiyou Huang; Meng Wang,"Guangxi University of Science and Technology, Liuzhou, Guangxi, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,157-166,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810819,https://dl.acm.org/doi/10.1145/3805622.3810819,https://dl.acm.org/doi/pdf/10.1145/3805622.3810819,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,48,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810818,RoATR: A Systematic Study of Audio-Text Retrieval Robustness Against Realistic Perturbations,Honglei Zhang; Pengfei Zhou; Ruohan Wang; Siyue Zhang; Yilei Shi,"School of Software, Nanjing University, Nanjing, China; School of Software, Northwestern Polytechnical University, Xi'an, China; Northwestern Polytechnical University, School of Software, Xi'an, China; College of Computing and Data Science, Nanyang Technological University, Singapore, Singapore",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,167-176,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810818,https://dl.acm.org/doi/10.1145/3805622.3810818,https://dl.acm.org/doi/pdf/10.1145/3805622.3810818,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,57,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810838,RFHNet: Relational and Frequency-Aware Hashing Network for Large-Scale Fine-Grained Food Image Retrieval,Junsong Wang; Weiqing Min; Guorui Sheng; Tao Yao; Lili Wang; Shuqiang Jiang,"School of Computer Science and Artificial Intelligence, Ludong University, Yantai, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,177-185,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810838,https://dl.acm.org/doi/10.1145/3805622.3810838,https://dl.acm.org/doi/pdf/10.1145/3805622.3810838,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,51,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810620,DeHub: Learning Hub-Resistant Representations for Text-Video Retrieval,Anjun Jia; Xiaowei Zhang,"School of Computer Science and Technology, Qingdao University, Qingdao, Shandong Province, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,186-195,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810620,https://dl.acm.org/doi/10.1145/3805622.3810620,https://dl.acm.org/doi/pdf/10.1145/3805622.3810620,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,62,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810613,AdRetr: Theme-Aware Advertisement Video Retrieval Beyond Keywords,Neha Choudhary; Abhiraj Painuly; Yaman Kumar; Varun Khurana; Poonam Goyal,"Dept. of CSIS, Birla Institute of Technology &amp; Science Pilani, Pilani, Rajasthan, India; Media and Data Science Research Lab, Adobe Systems, Noida, Uttar Pradesh, India",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,196-205,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810613,https://dl.acm.org/doi/10.1145/3805622.3810613,https://dl.acm.org/doi/pdf/10.1145/3805622.3810613,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,44,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810610,Empowering Vision Language Models for Training-Free Visual Search via Context-Aware Scanpath Simulation,Haoran Wang; Dan Wan,"Renmin University of China, Beijing, China; Renmin University of China, Beijing, Beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,206-214,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810610,https://dl.acm.org/doi/10.1145/3805622.3810610,https://dl.acm.org/doi/pdf/10.1145/3805622.3810610,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,27,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810627,DyCa-GRPO:Calibrated and Efficient Learning-to-Rank for Multimodal Retrieval with Human Feedback,Ning Han; Xiubo Liang,"School of Software Technology, Zhejiang University, Ningbo, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,215-222,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810627,https://dl.acm.org/doi/10.1145/3805622.3810627,https://dl.acm.org/doi/pdf/10.1145/3805622.3810627,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,27,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810643,CCRA: A Cross-modal Complementary Representation Alignment Framework for Bridging the Modality Gap,Xingchen Han; Ruihao Zhang; Ruiting Li; Yingxin Pei; Jiaqi Wang; Zhe Ji; Feiliang Ren; Yongkang Liu,"Northeastern University, shenyang, China; Northeastern University, qinhuangdao, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,223-232,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810643,https://dl.acm.org/doi/10.1145/3805622.3810643,https://dl.acm.org/doi/pdf/10.1145/3805622.3810643,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,59,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810637,PRISM-GCN: Principled Representation Integrationon Graphs for Multi-Behavior Recommendation,Xinwei Li; Gaoquan Liu; Changqiang Xu; Ruohong Huan; Xiaomin Zhao,"Zhejiang University of Technology, Hangzhou, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,233-241,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810637,https://dl.acm.org/doi/10.1145/3805622.3810637,https://dl.acm.org/doi/pdf/10.1145/3805622.3810637,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,36,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810607,B-HFA: Parameter-Efficient Vision-Language Retrieval via Block-shared Adapters and Hierarchical Aggregation,Rui Xu; Lin Yao; Zhiyang Wu; Xuyun Zhang; Guowei Wu,"Dalian University of Technology, Dalian, China; Macquarie University, Sydney, Australia",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,242-251,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810607,https://dl.acm.org/doi/10.1145/3805622.3810607,https://dl.acm.org/doi/pdf/10.1145/3805622.3810607,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,56,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810580,MCHRAG: Multi-Centroid Hierarchical Indexing for Efficient Incremental RAG,Yuan Ren; Mingxue Liao; Gang Zhou; Jinxing Peng; Pin Lv,"Institute of Automation，Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, Beijing University of Posts and Telecommunications, Beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,252-260,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810580,https://dl.acm.org/doi/10.1145/3805622.3810580,https://dl.acm.org/doi/pdf/10.1145/3805622.3810580,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,33,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810587,Adaptive Knowledge-Language Alignment for Industrial Anomaly Detection and Segmentation,Shih-Chih Lin,"International Intercollegiate Ph.D. Program, National Tsing Hau University, Hsinchu, Taiwan",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,261-268,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810587,https://dl.acm.org/doi/10.1145/3805622.3810587,https://dl.acm.org/doi/pdf/10.1145/3805622.3810587,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,22,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810603,Target-Enhanced Gated Transformer: A Multi-Behavior Recommendation Framework for Noise Suppression and Target Signal Preservation,Xing Zhang; Xu Cheng; Likang Wu; Yingyuan Xiao; Wenguang Zheng,"School of Computer Science and Engineering, Tianjin University of Technology, Tianjin, China; College of Management and Economics, Tianjin University, Tianjin, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,279-287,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810603,https://dl.acm.org/doi/10.1145/3805622.3810603,https://dl.acm.org/doi/pdf/10.1145/3805622.3810603,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,34,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810601,IMAGINE: Adaptive Schema-Imagery Enhanced Composition for Composed Video Retrieval,Jiale Huang; Zixu Li; Zhiwei Chen; Zhiheng Fu; Chunxiao Wang; Yupeng Hu,"Shandong University, Jinan, China; Qilu University of Technology (Shandong Academy of Sciences), Jinan, China; Shandong Unversity, Jinan, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,288-297,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810601,https://dl.acm.org/doi/10.1145/3805622.3810601,https://dl.acm.org/doi/pdf/10.1145/3805622.3810601,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,101,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810591,CREAM: Collaborative Representation with Self-supervised Alignment for Multimedia Recommendation,Junhao Gao; Chao Yang; Bin Jiang,"Hunan University, College of Computer Science and Electronic Engineering, Changsha, Hunan, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,298-307,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810591,https://dl.acm.org/doi/10.1145/3805622.3810591,https://dl.acm.org/doi/pdf/10.1145/3805622.3810591,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,53,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810606,Contrastive Multimodal Fusion and Pseudo-Label method for Unsupervised Cross-Modal Hashing Retrieval,Qinze Zhu; Jiayi Yang; Yijie Zhu; Mingyong Li,"College of Computer and Information Science, Chongqing Normal University, Chongqing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,308-316,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810606,https://dl.acm.org/doi/10.1145/3805622.3810606,https://dl.acm.org/doi/pdf/10.1145/3805622.3810606,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,41,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810686,From Noisy Candidates to Reliable Grounding in Weakly-Supervised Referring Expression Comprehension,Yunlong He; Ziqi Gu; Tong Zhang; Zhen Cui; Chunyan Xu,"Nanjing University of Science and Technology, Nanjing, China; Beijing Normal University, Beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,317-326,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810686,https://dl.acm.org/doi/10.1145/3805622.3810686,https://dl.acm.org/doi/pdf/10.1145/3805622.3810686,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,48,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810695,Fine-grained Text-Video Retrieval with Patch-level Temporal Difference and Aggregation,Jialong Hu; Zijie Song; Yang Wang; Zhenzhen Hu; Jia Li; Yixiao Ma; Richang Hong,"Hefei University of Technology, Hefei, China; Anhui University, Hefei, China; University of Science and Technology of China, Hefei, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,327-336,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810695,https://dl.acm.org/doi/10.1145/3805622.3810695,https://dl.acm.org/doi/pdf/10.1145/3805622.3810695,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,52,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
